election_id,election_year,office,district_display,dem_margin,dem_margin_two_party,response_shift
131740,2018,State Representative,31st Middlesex,21.953671128980673,22.67044114177872,0.7167700127980474
131514,2018,State Senate,Middlesex and Worcester,32.41572961676048,33.10288841752429,0.687158800763811
154413,2022,State Senate,Bristol and Norfolk,20.558028570597305,21.227506233664794,0.6694776630674895
105538,2010,State Senate,2nd Essex and Middlesex,11.379259909316952,12.015709116582826,0.6364492072658745
124793,2013,State Representative,12th Essex,-1.3675533907830661,-1.982079826228618,-0.6145264354455517
105553,2010,State Representative,2nd Worcester,-3.081168084617153,-3.6873968079251513,-0.6062287233079982
105657,2010,State Representative,3rd Plymouth,23.578611487139824,24.183071354192492,0.6044598670526682
165317,2024,State Representative,8th Bristol,1.1790215476351784,1.77153329260843,0.5925117449732515
126304,2014,State Representative,4th Middlesex,7.26051994691233,7.84545301164164,0.5849330647293094
165352,2024,State Senate,Cape and Islands,24.280809643281582,24.865496624134302,0.5846869808527195
105564,2010,State Representative,2nd Franklin,10.188362693510255,10.736097717775635,0.5477350242653802
130509,2017,State Senate,Worcester and Middlesex,-4.317006194520722,-4.8619102416570765,-0.5449040471363542
126355,2015,State Senate,2nd Plymouth and Bristol,16.416907200189794,16.84928171414658,0.4323745139567876
131741,2018,State Representative,19th Middlesex,4.776213822552583,5.206896551724138,0.43068272917155515
131598,2018,State Representative,22nd Middlesex,-23.009708737864077,-23.436681984759467,-0.42697324689538974
154526,2022,State Representative,12th Plymouth,9.077425096410563,9.478575116159009,0.4011500197484459
130503,2017,State Senate,Bristol and Norfolk,3.9264885392648887,4.323799566873273,0.3973110276083842
131658,2018,State Senate,Plymouth and Norfolk,-6.656959603374202,-7.038347031731088,-0.3813874283568861
105566,2010,State Representative,2nd Bristol,-4.351204351204352,-4.685756786909632,-0.33455243570528026
140830,2020,State Representative,2nd Barnstable,8.26148823972545,8.587088915956151,0.3256006762307013
131558,2018,State Representative,2nd Worcester,10.493950939108348,10.799284633374604,0.3053336942662561
126177,2014,State Senate,1st Hampden and Hampshire,5.7128014044641855,6.003727620159271,0.2909262156950856
126238,2014,State Representative,2nd Middlesex,8.421652421652425,8.66963866729235,0.24798624563992533
154474,2022,State Representative,1st Barnstable,8.86646629454702,9.039968480497308,0.1735021859502872
105522,2010,State Representative,3rd Hampden,-0.6403554626241481,-0.8117958913187541,-0.17144042869460596
105765,2011,State Representative,6th Worcester,-0.7052896725440794,-0.8492569002123143,-0.1439672276682349
112772,2012,State Representative,2nd Franklin,1.0758560428157926,1.2015858493443121,0.1257298065285195
126137,2014,State Senate,Cape and Islands,25.33567307436654,25.45750848227405,0.12183540790751124
126228,2014,State Representative,10th Plymouth,4.023552502453382,4.131171567280388,0.10761906482700656
165398,2024,State Senate,Third Bristol & Plymouth,-1.7326811127193587,-1.8239651222279065,-0.09128400950854787
126122,2014,State Representative,1st Essex,-0.06025548324897767,-0.07170514842965725,-0.01144966518067958
154401,2022,State Representative,1st Middlesex,0.03520064366890896,0.03721226941683058,0.0020116257479216235
112920,2012,State Representative,10th Essex,65.98145285935084,65.98145285935085,1.4210854715202004e-14
139531,2020,State Representative,32nd Middlesex,62.93622141997592,62.936221419975936,1.4210854715202004e-14
140929,2020,State Representative,10th Norfolk,92.47354366531499,92.473543665315,1.4210854715202004e-14
105623,2010,State Senate,"Middlesex, Suffolk and Essex",55.25470157509351,55.2547015750935,-1.4210854715202004e-14
112862,2012,State Representative,17th Middlesex,53.59016639184531,53.590166391845294,-1.4210854715202004e-14
112756,2012,State Representative,23rd Middlesex,62.69668670845594,62.69668670845593,-1.4210854715202004e-14
112931,2012,State Representative,34th Middlesex,68.42489505384195,68.42489505384194,-1.4210854715202004e-14
130342,2016,State Representative,5th Suffolk,68.69997668816536,68.69997668816535,-1.4210854715202004e-14
165530,2024,State Representative,11th Middlesex,62.54131829671399,62.541318296713975,-1.4210854715202004e-14
126215,2014,State Senate,2nd Suffolk,80.07738492328218,80.0773849232822,1.4210854715202004e-14
105621,2010,State Senate,1st Suffolk and Middlesex,50.20198683909651,50.20198683909653,1.4210854715202004e-14
105563,2010,State Senate,2nd Middlesex and Norfolk,18.541043878637936,18.541043878637943,7.105427357601002e-15
131537,2018,State Senate,1st Essex,32.6273308814059,32.627330881405896,-7.105427357601002e-15
130307,2016,State Representative,7th Worcester,-32.651874818331564,-32.65187481833156,7.105427357601002e-15
130327,2016,State Senate,1st Plymouth and Bristol,30.696272877713838,30.69627287771383,-7.105427357601002e-15
131629,2018,State Senate,Plymouth and Barnstable,-17.64002341145634,-17.640023411456347,-7.105427357601002e-15
130277,2016,State Senate,"Hampshire, Franklin and Worcester",63.49318844003464,63.49318844003465,7.105427357601002e-15
131713,2018,State Senate,5th Middlesex,34.06150463680695,34.061504636806944,-7.105427357601002e-15
112776,2012,State Representative,2nd Bristol,16.413628212791398,16.41362821279139,-7.105427357601002e-15
154370,2022,State Senate,Hampden and Hampshire,31.391768993948826,31.391768993948833,7.105427357601002e-15
140938,2020,State Representative,3rd Norfolk,36.903094973685484,36.90309497368548,-7.105427357601002e-15
165402,2024,State Senate,2nd Essex,33.70378040081912,33.70378040081913,7.105427357601002e-15
130294,2016,State Representative,1st Middlesex,-30.369339191717053,-30.36933919171706,-7.105427357601002e-15
105710,2010,State Senate,3rd Essex and Middlesex,35.065095329178746,35.06509532917875,7.105427357601002e-15
112948,2012,State Representative,19th Suffolk,55.25887774464624,55.25887774464625,7.105427357601002e-15
105672,2010,State Representative,12th Hampden,29.561051404894467,29.561051404894474,7.105427357601002e-15
