variant,parameter,mean,sd,eti89_lb,eti89_ub,fold,definition,component,fold_schedule
special_pooled_term,PVI_N,1.620948,0.087113,1.480818,1.762216,2017-12-05,current,,election_date>=2014-01-01
special_pooled_term,incumbent_dem,14.08228,2.000537,10.902372,17.284181,2017-12-05,current,,election_date>=2014-01-01
special_pooled_term,incumbent_gop,-22.781886,2.761089,-27.194206,-18.386809,2017-12-05,current,,election_date>=2014-01-01
special_pooled_term,pres_elec,11.289928,1.707654,8.570171,14.066576,2017-12-05,current,,election_date>=2014-01-01
special_pooled_term,is_special,8.044795,3.356352,2.735436,13.432869,2017-12-05,current,,election_date>=2014-01-01
special_pooled_term,sigma,14.676634,0.55529,13.810983,15.584126,2018-04-03,current,,election_date>=2014-01-01
special_pooled_term,Intercept,-4.933136,1.945431,-8.106036,-1.853913,2018-04-03,current,,election_date>=2014-01-01
special_pooled_term,PVI_N,1.627166,0.086036,1.488276,1.76409,2018-04-03,current,,election_date>=2014-01-01
special_pooled_term,incumbent_dem,14.102148,2.009982,10.941013,17.290183,2018-04-03,current,,election_date>=2014-01-01
special_pooled_term,incumbent_gop,-22.657914,2.837821,-27.164555,-18.074637,2018-04-03,current,,election_date>=2014-01-01
special_pooled_term,pres_elec,11.277122,1.743636,8.472666,14.019842,2018-04-03,current,,election_date>=2014-01-01
special_pooled_term,is_special,7.634893,3.337973,2.340452,13.046963,2018-04-03,current,,election_date>=2014-01-01
special_pooled_term,sigma,14.645457,0.548815,13.804795,15.52691,2018-11-06,current,,election_date>=2014-01-01
special_pooled_term,Intercept,-4.908055,1.92447,-7.984606,-1.793159,2018-11-06,current,,election_date>=2014-01-01
special_pooled_term,PVI_N,1.6246,0.084805,1.489193,1.760154,2018-11-06,current,,election_date>=2014-01-01
special_pooled_term,incumbent_dem,14.093124,2.010186,10.849498,17.273794,2018-11-06,current,,election_date>=2014-01-01
special_pooled_term,incumbent_gop,-22.709516,2.775024,-27.148561,-18.292131,2018-11-06,current,,election_date>=2014-01-01
special_pooled_term,pres_elec,11.271208,1.65816,8.621698,13.933047,2018-11-06,current,,election_date>=2014-01-01
special_pooled_term,is_special,7.493202,3.206071,2.38837,12.660315,2018-11-06,current,,election_date>=2014-01-01
special_pooled_term,sigma,15.309994,0.511396,14.508197,16.144411,2020-03-03,current,,election_date>=2014-01-01
special_pooled_term,Intercept,-0.44998,1.804796,-3.323435,2.443818,2020-03-03,current,,election_date>=2014-01-01
special_pooled_term,PVI_N,1.613442,0.082972,1.479189,1.745631,2020-03-03,current,,election_date>=2014-01-01
special_pooled_term,incumbent_dem,12.237729,1.912393,9.215444,15.296471,2020-03-03,current,,election_date>=2014-01-01
special_pooled_term,incumbent_gop,-21.873623,2.444829,-25.876963,-18.000013,2020-03-03,current,,election_date>=2014-01-01
special_pooled_term,pres_elec,7.734947,1.657145,5.114038,10.386503,2020-03-03,current,,election_date>=2014-01-01
special_pooled_term,is_special,3.136578,3.292078,-1.994614,8.359839,2020-03-03,current,,election_date>=2014-01-01
special_pooled_term,sigma,15.42853,0.533304,14.597729,16.30254,2020-05-19,current,,election_date>=2014-01-01
