definition,variant,bin,bin_lower,bin_upper,n_races,small_sample,mean_forecast,observed_frequency,fold_schedule
two_party,special_pooled_term,0.0-0.1,0.0,0.1,50,False,0.03576,0.04,election_date>=2014-01-01
two_party,special_pooled_term,0.1-0.2,0.1,0.2,32,False,0.145754,0.125,election_date>=2014-01-01
two_party,special_pooled_term,0.2-0.3,0.2,0.3,13,False,0.249529,0.461538,election_date>=2014-01-01
two_party,special_pooled_term,0.3-0.4,0.3,0.4,6,True,0.363021,0.666667,election_date>=2014-01-01
two_party,special_pooled_term,0.4-0.5,0.4,0.5,10,False,0.442738,0.4,election_date>=2014-01-01
two_party,special_pooled_term,0.5-0.6,0.5,0.6,19,False,0.543487,0.736842,election_date>=2014-01-01
two_party,special_pooled_term,0.6-0.7,0.6,0.7,25,False,0.645935,0.88,election_date>=2014-01-01
two_party,special_pooled_term,0.7-0.8,0.7,0.8,27,False,0.743685,0.851852,election_date>=2014-01-01
two_party,special_pooled_term,0.8-0.9,0.8,0.9,38,False,0.848556,0.894737,election_date>=2014-01-01
two_party,special_pooled_term,0.9-1.0,0.9,1.0,126,False,0.971886,0.984127,election_date>=2014-01-01
two_party,special_pooled_plain,0.0-0.1,0.0,0.1,50,False,0.03565,0.04,election_date>=2014-01-01
two_party,special_pooled_plain,0.1-0.2,0.1,0.2,29,False,0.142151,0.103448,election_date>=2014-01-01
two_party,special_pooled_plain,0.2-0.3,0.2,0.3,16,False,0.242359,0.4375,election_date>=2014-01-01
two_party,special_pooled_plain,0.3-0.4,0.3,0.4,7,True,0.366946,0.428571,election_date>=2014-01-01
two_party,special_pooled_plain,0.4-0.5,0.4,0.5,12,False,0.450198,0.583333,election_date>=2014-01-01
two_party,special_pooled_plain,0.5-0.6,0.5,0.6,12,False,0.54676,0.666667,election_date>=2014-01-01
two_party,special_pooled_plain,0.6-0.7,0.6,0.7,31,False,0.650238,0.903226,election_date>=2014-01-01
two_party,special_pooled_plain,0.7-0.8,0.7,0.8,26,False,0.754668,0.846154,election_date>=2014-01-01
two_party,special_pooled_plain,0.8-0.9,0.8,0.9,35,False,0.851371,0.885714,election_date>=2014-01-01
two_party,special_pooled_plain,0.9-1.0,0.9,1.0,128,False,0.970813,0.984375,election_date>=2014-01-01
two_party,special_split,0.0-0.1,0.0,0.1,53,False,0.031866,0.037736,election_date>=2014-01-01
two_party,special_split,0.1-0.2,0.1,0.2,29,False,0.140741,0.137931,election_date>=2014-01-01
two_party,special_split,0.2-0.3,0.2,0.3,11,False,0.234705,0.363636,election_date>=2014-01-01
two_party,special_split,0.3-0.4,0.3,0.4,9,True,0.363097,0.444444,election_date>=2014-01-01
two_party,special_split,0.4-0.5,0.4,0.5,10,False,0.446525,0.6,election_date>=2014-01-01
two_party,special_split,0.5-0.6,0.5,0.6,17,False,0.555779,0.705882,election_date>=2014-01-01
two_party,special_split,0.6-0.7,0.6,0.7,22,False,0.659364,0.909091,election_date>=2014-01-01
two_party,special_split,0.7-0.8,0.7,0.8,27,False,0.745542,0.851852,election_date>=2014-01-01
two_party,special_split,0.8-0.9,0.8,0.9,38,False,0.857595,0.894737,election_date>=2014-01-01
two_party,special_split,0.9-1.0,0.9,1.0,130,False,0.974777,0.984615,election_date>=2014-01-01
two_party,baseline_num_candidates,0.0-0.1,0.0,0.1,50,False,0.036175,0.04,election_date>=2014-01-01
two_party,baseline_num_candidates,0.1-0.2,0.1,0.2,30,False,0.145862,0.133333,election_date>=2014-01-01
two_party,baseline_num_candidates,0.2-0.3,0.2,0.3,14,False,0.237446,0.357143,election_date>=2014-01-01
two_party,baseline_num_candidates,0.3-0.4,0.3,0.4,7,True,0.354036,0.571429,election_date>=2014-01-01
two_party,baseline_num_candidates,0.4-0.5,0.4,0.5,13,False,0.444654,0.538462,election_date>=2014-01-01
two_party,baseline_num_candidates,0.5-0.6,0.5,0.6,16,False,0.554492,0.75,election_date>=2014-01-01
two_party,baseline_num_candidates,0.6-0.7,0.6,0.7,26,False,0.650909,0.884615,election_date>=2014-01-01
two_party,baseline_num_candidates,0.7-0.8,0.7,0.8,27,False,0.752523,0.851852,election_date>=2014-01-01
two_party,baseline_num_candidates,0.8-0.9,0.8,0.9,37,False,0.853652,0.891892,election_date>=2014-01-01
two_party,baseline_num_candidates,0.9-1.0,0.9,1.0,126,False,0.971588,0.984127,election_date>=2014-01-01
two_party,baseline_pres_incumbent,0.0-0.1,0.0,0.1,54,False,0.046442,0.018519,election_date>=2014-01-01
two_party,baseline_pres_incumbent,0.1-0.2,0.1,0.2,27,False,0.137343,0.222222,election_date>=2014-01-01
two_party,baseline_pres_incumbent,0.2-0.3,0.2,0.3,13,False,0.251654,0.307692,election_date>=2014-01-01
two_party,baseline_pres_incumbent,0.3-0.4,0.3,0.4,11,False,0.358716,0.363636,election_date>=2014-01-01
two_party,baseline_pres_incumbent,0.4-0.5,0.4,0.5,12,False,0.454344,0.666667,election_date>=2014-01-01
two_party,baseline_pres_incumbent,0.5-0.6,0.5,0.6,13,False,0.55849,0.769231,election_date>=2014-01-01
two_party,baseline_pres_incumbent,0.6-0.7,0.6,0.7,27,False,0.647486,0.851852,election_date>=2014-01-01
two_party,baseline_pres_incumbent,0.7-0.8,0.7,0.8,23,False,0.748908,0.913043,election_date>=2014-01-01
two_party,baseline_pres_incumbent,0.8-0.9,0.8,0.9,39,False,0.84949,0.897436,election_date>=2014-01-01
two_party,baseline_pres_incumbent,0.9-1.0,0.9,1.0,127,False,0.972613,0.984252,election_date>=2014-01-01
two_party,baseline_year,0.0-0.1,0.0,0.1,57,False,0.042167,0.017544,election_date>=2014-01-01
two_party,baseline_year,0.1-0.2,0.1,0.2,19,False,0.139467,0.157895,election_date>=2014-01-01
two_party,baseline_year,0.2-0.3,0.2,0.3,17,False,0.255485,0.176471,election_date>=2014-01-01
two_party,baseline_year,0.3-0.4,0.3,0.4,15,False,0.353175,0.466667,election_date>=2014-01-01
two_party,baseline_year,0.4-0.5,0.4,0.5,16,False,0.460141,0.8125,election_date>=2014-01-01
two_party,baseline_year,0.5-0.6,0.5,0.6,14,False,0.548339,0.714286,election_date>=2014-01-01
two_party,baseline_year,0.6-0.7,0.6,0.7,35,False,0.64635,0.942857,election_date>=2014-01-01
two_party,baseline_year,0.7-0.8,0.7,0.8,31,False,0.75579,0.870968,election_date>=2014-01-01
two_party,baseline_year,0.8-0.9,0.8,0.9,45,False,0.846697,0.955556,election_date>=2014-01-01
two_party,baseline_year,0.9-1.0,0.9,1.0,97,False,0.960421,1.0,election_date>=2014-01-01
two_party,baseline_national_env,0.0-0.1,0.0,0.1,49,False,0.045735,0.020408,election_date>=2014-01-01
two_party,baseline_national_env,0.1-0.2,0.1,0.2,29,False,0.139414,0.137931,election_date>=2014-01-01
two_party,baseline_national_env,0.2-0.3,0.2,0.3,12,False,0.248927,0.333333,election_date>=2014-01-01
two_party,baseline_national_env,0.3-0.4,0.3,0.4,12,False,0.348406,0.5,election_date>=2014-01-01
two_party,baseline_national_env,0.4-0.5,0.4,0.5,9,True,0.440292,0.555556,election_date>=2014-01-01
two_party,baseline_national_env,0.5-0.6,0.5,0.6,12,False,0.541469,0.583333,election_date>=2014-01-01
two_party,baseline_national_env,0.6-0.7,0.6,0.7,28,False,0.652683,0.892857,election_date>=2014-01-01
two_party,baseline_national_env,0.7-0.8,0.7,0.8,29,False,0.748681,0.827586,election_date>=2014-01-01
